COUNTRY,COUNTRY_GRP,SEX,YEAR,VALUE
ROU,,ALL,2007,34.46
ROU,,ALL,2008,46.42
ROU,,ALL,2009,45.87
ROU,,ALL,2010,39.11
ROU,,ALL,2011,44.33
ROU,,ALL,2012,36.3
ROU,,ALL,2013,54.61
ROU,,ALL,2014,59.88
ROU,,ALL,2015,53.67
RUS,,ALL,1991,3.84
RUS,,ALL,1992,3.59
RUS,,ALL,1994,4.25
RUS,,ALL,1995,3.59
RUS,,ALL,1996,2.38
RUS,,ALL,1997,2.14
RUS,,ALL,1998,2.26
RUS,,ALL,1999,2.55
RUS,,ALL,2000,3.39
RUS,,ALL,2001,2.44
RUS,,ALL,2002,3.01
RUS,,ALL,2003,2.9
RUS,,ALL,2004,2.8
RUS,,ALL,2005,2.95
RUS,,ALL,2006,2.5
RUS,,ALL,2007,2.73
RUS,,ALL,2008,2.57
RUS,,ALL,2009,2.21
RUS,,ALL,2010,3.07
RUS,,ALL,2011,2.56
RUS,,ALL,2012,2.68
RUS,,ALL,2013,2.22
RUS,,ALL,2015,2.42
RUS,,ALL,2016,147.08
RUS,,ALL,2017,167.4
,SEEHN,ALL,1996,67.46
,SEEHN,ALL,1997,69.83
,SEEHN,ALL,1998,69.92
,SEEHN,ALL,1999,86.59
,SEEHN,ALL,2000,74.59
,SEEHN,ALL,2001,83.77
,SEEHN,ALL,2002,85.87
,SEEHN,ALL,2003,85.76
,SEEHN,ALL,2004,73.46
,SEEHN,ALL,2005,68.05
,SEEHN,ALL,2006,59.03
,SEEHN,ALL,2007,62.79
,SEEHN,ALL,2008,61.89
,SEEHN,ALL,2009,60.3
,SEEHN,ALL,2010,66.47
,SEEHN,ALL,2011,61.08
,SEEHN,ALL,2012,57.99
,SEEHN,ALL,2013,62.33
,SEEHN,ALL,2014,61.18
,SEEHN,ALL,2015,62.57
,SEEHN,ALL,2016,66.08
,SMALL,ALL,2012,61.74
,SMALL,ALL,2015,101.54
,SMALL,ALL,2016,96.6
SMR,,ALL,2011,0
SMR,,ALL,2012,342.47
SMR,,ALL,2013,312.5
SMR,,ALL,2014,337.84
SMR,,ALL,2015,371.75
SMR,,ALL,2016,0
SMR,,ALL,2017,0
SRB,,ALL,2006,54.93
SRB,,ALL,2007,35.24
SRB,,ALL,2008,36.19
SRB,,ALL,2009,48.36
SRB,,ALL,2010,43.92
SRB,,ALL,2011,32.01
SRB,,ALL,2012,31.22
SRB,,ALL,2013,42.71
SRB,,ALL,2014,24.07
SRB,,ALL,2015,28.94
SRB,,ALL,2016,32.44
SRB,,ALL,2017,21.57
SVK,,ALL,1980,74.66
SVK,,ALL,1981,64.32
SVK,,ALL,1982,85.3
SVK,,ALL,1983,71.7
SVK,,ALL,1984,84.76
SVK,,ALL,1985,64.33
SVK,,ALL,1986,44.76
SVK,,ALL,1987,63.09
SVK,,ALL,1988,84.09
SVK,,ALL,1989,57.42
SVK,,ALL,1990,67.51
SVK,,ALL,1991,54.73
SVK,,ALL,1992,45.55
SVK,,ALL,1993,46.41
SVK,,ALL,1994,79.86
SVK,,ALL,1995,79.77
SVK,,ALL,1996,102.71
SVK,,ALL,1997,98.12
SVK,,ALL,1998,79.89
SVK,,ALL,1999,120.95
SVK,,ALL,2000,96.1
SVK,,ALL,2001,117.33
SVK,,ALL,2002,94.41
SVK,,ALL,2003,143.1
SVK,,ALL,2004,96.75
SVK,,ALL,2005,101.05
SVK,,ALL,2006,98.32
SVK,,ALL,2007,69.82
SVK,,ALL,2008,120.29
SVK,,ALL,2009,99.65
SVK,,ALL,2010,84.42
SVK,,ALL,2011,85.51
SVK,,ALL,2012,79.23
SVK,,ALL,2013,87.55
SVK,,ALL,2014,81.77
SVK,,ALL,2015,107.91
SVK,,ALL,2016,86.87
SVK,,ALL,2017,113.85
SVN,,ALL,1988,98.27
SVN,,ALL,1989,93.06
SVN,,ALL,1990,61.88
SVN,,ALL,1991,74.01
SVN,,ALL,1992,119.99
SVN,,ALL,1993,131.87
SVN,,ALL,1994,113.01
SVN,,ALL,1995,106.38
SVN,,ALL,1996,138.39
SVN,,ALL,1997,83.19
SVN,,ALL,1998,95.61
SVN,,ALL,1999,126.96
SVN,,ALL,2000,66.23
SVN,,ALL,2001,109.09
SVN,,ALL,2002,97.2
SVN,,ALL,2003,76.17
SVN,,ALL,2004,89.88
SVN,,ALL,2005,71.87
SVN,,ALL,2006,89.72
SVN,,ALL,2007,111.03
SVN,,ALL,2008,64.35
SVN,,ALL,2009,64.68
SVN,,ALL,2010,54.06
SVN,,ALL,2011,59.23
SVN,,ALL,2012,63.58
SVN,,ALL,2013,47.37
SVN,,ALL,2014,51.97
SVN,,ALL,2015,53.29
SVN,,ALL,2016,35.03
SVN,,ALL,2017,30.23
SWE,,ALL,1975,128.34
SWE,,ALL,1980,140.11
SWE,,ALL,1981,136.08
SWE,,ALL,1982,123.99
SWE,,ALL,1983,141.64
SWE,,ALL,1984,122.49
SWE,,ALL,1985,133.04
SWE,,ALL,1986,133.4
SWE,,ALL,1987,134.67
SWE,,ALL,1988,109.74
SWE,,ALL,1989,118.94
SWE,,ALL,1990,128.29
SWE,,ALL,1991,136.58
SWE,,ALL,1992,122.92
SWE,,ALL,1993,123.04
SWE,,ALL,1994,153.35
SWE,,ALL,1995,123.88
SWE,,ALL,1996,137.67
SWE,,ALL,1997,125.02
SWE,,ALL,1998,119.06
SWE,,ALL,1999,154.24
SWE,,ALL,2000,127.15
SWE,,ALL,2001,155.25
SWE,,ALL,2002,146.11
SWE,,ALL,2003,172.45
SWE,,ALL,2004,118.9
SWE,,ALL,2005,136.17
SWE,,ALL,2006,174.67
SWE,,ALL,2007,145.22
SWE,,ALL,2008,141.81
SWE,,ALL,2009,143.11
SWE,,ALL,2010,172.95
SWE,,ALL,2011,138.68
SWE,,ALL,2012,175.83
SWE,,ALL,2013,182.03
SWE,,ALL,2014,120.62
SWE,,ALL,2015,93.15
SWE,,ALL,2016,105.7
TJK,,ALL,1991,24.46
TJK,,ALL,1992,21.17
TJK,,ALL,2006,20.92
TJK,,ALL,2007,34
TJK,,ALL,2008,26.56
TJK,,ALL,2009,31.53
TJK,,ALL,2010,20.43
TJK,,ALL,2011,24.53
TJK,,ALL,2012,23.26
TJK,,ALL,2013,17.67
TJK,,ALL,2014,18.74
TJK,,ALL,2015,18.52
TJK,,ALL,2016,40.86
TJK,,ALL,2017,43.29
UKR,,ALL,1992,67.03
UKR,,ALL,1993,88.23
UKR,,ALL,1994,93.06
UKR,,ALL,1995,83.8
UKR,,ALL,1996,89.04
UKR,,ALL,1997,86.09
UKR,,ALL,1998,85.87
UKR,,ALL,1999,89.67
UKR,,ALL,2000,83.61
UKR,,ALL,2001,90.84
UKR,,ALL,2002,84.72
UKR,,ALL,2003,82.23
UKR,,ALL,2004,79.34
UKR,,ALL,2005,81.2
UKR,,ALL,2006,84.5
UKR,,ALL,2007,89.07
UKR,,ALL,2008,72.86
UKR,,ALL,2009,79.8
UKR,,ALL,2010,86.2
UKR,,ALL,2011,85.16
UKR,,ALL,2012,85.46
UKR,,ALL,2013,82.2
UKR,,ALL,2014,83.71
UKR,,ALL,2015,83.05
UZB,,ALL,1992,82.34
,WHO_EURO,ALL,1999,68.16
,WHO_EURO,ALL,2000,65.77
,WHO_EURO,ALL,2001,67.44
,WHO_EURO,ALL,2002,65.31
,WHO_EURO,ALL,2003,67.07
,WHO_EURO,ALL,2004,68.14
,WHO_EURO,ALL,2005,66.13
,WHO_EURO,ALL,2006,69.24
,WHO_EURO,ALL,2007,72.25
,WHO_EURO,ALL,2008,71.6
,WHO_EURO,ALL,2009,74.37
,WHO_EURO,ALL,2010,72.74
,WHO_EURO,ALL,2011,75.08
,WHO_EURO,ALL,2012,82.6
,WHO_EURO,ALL,2013,86.7
,WHO_EURO,ALL,2014,81.38
,WHO_EURO,ALL,2015,80.7
,WHO_EURO,ALL,2016,106.52
